,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,484726.10745980684,370282.72447965125,1.3090702736428763,0.2131780007270888,-315221.0845356793,1284673.299455293
avg_food_income,1071.831195767565,1733.554959452851,0.6182850967158602,0.547067753460213,-2673.2866028899994,4816.948994425129
avg_reception_income,-690.2236212620155,2463.2857929853444,-0.2802044420617182,0.7837298926123428,-6011.829040337646,4631.381797813615
avg_photo_income,-7764.724261807549,4471.136554130941,-1.7366332179305999,0.1060720404907405,-17424.027532117085,1894.5790085019853
scenario_ALT2 (Website+LargeTube=10) [250k],53241.83198798543,11892.741956575253,4.476834037296934,0.0006231772440064926,27549.125025600282,78934.53895037058
scenario_ALT3 (Marketing Only) [60k],-104096.69837379945,16623.38275397501,-6.262064702138178,2.9151911662034326e-05,-140009.33343987117,-68184.06330772772
scenario_ALT4 (Kitchen Quality Only) [100k],-81790.8544836977,11125.748538245247,-7.351492279601508,5.571425608641126e-06,-105826.57290540944,-57755.13606198595
